name,description,latitude,longitude
Hopedale,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in1010048.html"">ACP Community Profile</a>]]>",55.4618,-60.2039
Makkovik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in1010044.html"">ACP Community Profile</a>]]>",55.0742,-59.1742
Nain(Head office),"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in1010056.html"">ACP Community Profile</a>]]>",56.5807,-61.8352
Postville,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in1010059.html"">ACP Community Profile</a>]]>",54.8965,-59.8313
Rigolet,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in1010021.html"">ACP Community Profile</a>]]>",54.1802,-58.4281
