name,description,latitude,longitude
Smith&apos;s Landing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn477.html"">ACP Community Profile</a>]]>",60.0189,-111.9112
Sturgeon Lake Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn455.html"">ACP Community Profile</a>]]>",55.056,-117.476
Sucker Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn456.html"">ACP Community Profile</a>]]>",55.414,-116.163
Sunchild First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn434.html"">ACP Community Profile</a>]]>",52.833,-115.393
Swan River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn457.html"">ACP Community Profile</a>]]>",55.333,-115.428
Tallcree,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn446.html"">ACP Community Profile</a>]]>",58.024,-115.608
Tsuu T&apos;Ina Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn432.html"">ACP Community Profile</a>]]>",50.801,-113.627
Wesley,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn475.html"">ACP Community Profile</a>]]>",52.393,-116.293
Whitefish Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn459.html"">ACP Community Profile</a>]]>",55.919,-115.648
Woodland Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn474.html"">ACP Community Profile</a>]]>",56.466,-116.508
