name,description,latitude,longitude
Muskeg Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn375.html"">ACP Community Profile</a>]]>",52.979,-106.901
Muskoday First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn371.html"">ACP Community Profile</a>]]>",53.091,-105.493
Muskowekwan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn392.html"">ACP Community Profile</a>]]>",51.321,-104.096
Nekaneet,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn380.html"">ACP Community Profile</a>]]>",49.716,-109.267
Ocean Man,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn408.html"">ACP Community Profile</a>]]>",49.8262,-102.9313
Ochapowace,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn363.html"">ACP Community Profile</a>]]>",50.484,-102.395
Okanese,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn382.html"">ACP Community Profile</a>]]>",50.922,-103.385
One Arrow,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn373.html"">ACP Community Profile</a>]]>",52.741,-106.023
Onion Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn344.html"">ACP Community Profile</a>]]>",53.701,-109.891
Pasqua First Nation #79,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn383.html"">ACP Community Profile</a>]]>",50.746,-104.016
Peepeekisis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn384.html"">ACP Community Profile</a>]]>",50.872,-103.389
Pelican Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn405.html"">ACP Community Profile</a>]]>",53.696,-107.787
Peter Ballantyne Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn355.html"">ACP Community Profile</a>]]>",55.168,-102.887
Pheasant Rump Nakota,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn409.html"">ACP Community Profile</a>]]>",49.7261,-102.6703
Piapot,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn385.html"">ACP Community Profile</a>]]>",50.744,-104.433
Poundmaker,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn345.html"">ACP Community Profile</a>]]>",52.848,-108.947
Red Earth,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn356.html"">ACP Community Profile</a>]]>",53.493,-102.879
Red Pheasant,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn346.html"">ACP Community Profile</a>]]>",52.472,-108.131
Sakimay First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn364.html"">ACP Community Profile</a>]]>",50.552,-102.794
Saulteaux,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn347.html"">ACP Community Profile</a>]]>",53.142,-108.312
Shoal Lake Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn357.html"">ACP Community Profile</a>]]>",53.482,-102.635
Standing Buffalo,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn386.html"">ACP Community Profile</a>]]>",50.835,-103.901
Star Blanket,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn387.html"">ACP Community Profile</a>]]>",50.957,-103.382
Sturgeon Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn360.html"">ACP Community Profile</a>]]>",53.387,-106.059
Sweetgrass,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn348.html"">ACP Community Profile</a>]]>",52.752,-108.689
The Key First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn368.html"">ACP Community Profile</a>]]>",51.761,-102.137
Thunderchild First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn349.html"">ACP Community Profile</a>]]>",53.489,-108.865
Wahpeton Dakota Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn358.html"">ACP Community Profile</a>]]>",53.269,-105.881
Waterhen Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn402.html"">ACP Community Profile</a>]]>",54.506,-108.348
White Bear,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn365.html"">ACP Community Profile</a>]]>",49.756,-102.249
Whitecap Dakota First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn372.html"">ACP Community Profile</a>]]>",51.883,-106.721
Witchekan Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn407.html"">ACP Community Profile</a>]]>",53.487,-107.631
Wood Mountain,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn388.html"">ACP Community Profile</a>]]>",49.319,-106.443
Yellow Quill,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn376.html"">ACP Community Profile</a>]]>",52.354,-103.662
