name,description,name,description,latitude,longitude
Nicickousemenecaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn129.html"">ACP Community Profile</a>]]>",Nicickousemenecaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn129.html"">ACP Community Profile</a>]]>",48.738,-92.922
Niharondasa Seneca,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn252.html"">ACP Community Profile</a>]]>",Niharondasa Seneca,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn252.html"">ACP Community Profile</a>]]>",43.0421,-80.1017
Nipissing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn220.html"">ACP Community Profile</a>]]>",Nipissing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn220.html"">ACP Community Profile</a>]]>",46.393,-79.632
North Caribou Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn204.html"">ACP Community Profile</a>]]>",North Caribou Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn204.html"">ACP Community Profile</a>]]>",52.957,-91.272
North Spirit Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn238.html"">ACP Community Profile</a>]]>",North Spirit Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn238.html"">ACP Community Profile</a>]]>",52.505,-93.019
Northwest Angle No.33,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn151.html"">ACP Community Profile</a>]]>",Northwest Angle No.33,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn151.html"">ACP Community Profile</a>]]>",49.376,-95.021
Northwest Angle No.37,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn152.html"">ACP Community Profile</a>]]>",Northwest Angle No.37,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn152.html"">ACP Community Profile</a>]]>",49.375,-93.989
Obashkaandagaang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn235.html"">ACP Community Profile</a>]]>",Obashkaandagaang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn235.html"">ACP Community Profile</a>]]>",49.691,-94.614
Ochiichagwe&apos;babigo&apos;ining First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn147.html"">ACP Community Profile</a>]]>",Ochiichagwe&apos;babigo&apos;ining First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn147.html"">ACP Community Profile</a>]]>",49.883,-94.541
Ojibway Nation of Saugeen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn258.html"">ACP Community Profile</a>]]>",Ojibway Nation of Saugeen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn258.html"">ACP Community Profile</a>]]>",50.5,-90.76
Ojibways of Onigaming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn131.html"">ACP Community Profile</a>]]>",Ojibways of Onigaming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn131.html"">ACP Community Profile</a>]]>",49.177,-93.921
Ojibways of the Pic River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn192.html"">ACP Community Profile</a>]]>",Ojibways of the Pic River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn192.html"">ACP Community Profile</a>]]>",48.629,-86.275
Oneida,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn246.html"">ACP Community Profile</a>]]>",Oneida,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn246.html"">ACP Community Profile</a>]]>",42.831,-81.413
Oneida Nation of the Thames,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn169.html"">ACP Community Profile</a>]]>",Oneida Nation of the Thames,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn169.html"">ACP Community Profile</a>]]>",42.821,-81.403
Onondaga Clear Sky,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn247.html"">ACP Community Profile</a>]]>",Onondaga Clear Sky,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn247.html"">ACP Community Profile</a>]]>",43.0159,-80.0308
Pays Plat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn191.html"">ACP Community Profile</a>]]>",Pays Plat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn191.html"">ACP Community Profile</a>]]>",48.886,-87.559
Pic Mobert,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn195.html"">ACP Community Profile</a>]]>",Pic Mobert,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn195.html"">ACP Community Profile</a>]]>",48.699,-85.617
Pikangikum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn208.html"">ACP Community Profile</a>]]>",Pikangikum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn208.html"">ACP Community Profile</a>]]>",51.809,-93.984
Poplar Hill,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn236.html"">ACP Community Profile</a>]]>",Poplar Hill,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn236.html"">ACP Community Profile</a>]]>",52.082,-94.309
Rainy River First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn130.html"">ACP Community Profile</a>]]>",Rainy River First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn130.html"">ACP Community Profile</a>]]>",48.655,-93.907
Red Rock,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn193.html"">ACP Community Profile</a>]]>",Red Rock,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn193.html"">ACP Community Profile</a>]]>",49.031,-88.248
Sachigo Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn214.html"">ACP Community Profile</a>]]>",Sachigo Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn214.html"">ACP Community Profile</a>]]>",53.894,-92.162
Sagamok Anishnawbek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn179.html"">ACP Community Profile</a>]]>",Sagamok Anishnawbek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn179.html"">ACP Community Profile</a>]]>",46.158,-82.224
Sandpoint,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn196.html"">ACP Community Profile</a>]]>",Sandpoint,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn196.html"">ACP Community Profile</a>]]>",48.6328,-93.1168
Sandy Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn211.html"">ACP Community Profile</a>]]>",Sandy Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn211.html"">ACP Community Profile</a>]]>",53.074,-93.327
Saugeen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn123.html"">ACP Community Profile</a>]]>",Saugeen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn123.html"">ACP Community Profile</a>]]>",44.566,-81.309
Seine River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn132.html"">ACP Community Profile</a>]]>",Seine River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn132.html"">ACP Community Profile</a>]]>",48.719,-92.428
Serpent River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn201.html"">ACP Community Profile</a>]]>",Serpent River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn201.html"">ACP Community Profile</a>]]>",46.189,-82.579
Shawanaga First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn137.html"">ACP Community Profile</a>]]>",Shawanaga First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn137.html"">ACP Community Profile</a>]]>",45.517,-80.284
Sheguiandah,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn176.html"">ACP Community Profile</a>]]>",Sheguiandah,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn176.html"">ACP Community Profile</a>]]>",45.857,-81.931
Sheshegwaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn178.html"">ACP Community Profile</a>]]>",Sheshegwaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn178.html"">ACP Community Profile</a>]]>",45.942,-82.847
Shoal Lake No.40,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn155.html"">ACP Community Profile</a>]]>",Shoal Lake No.40,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn155.html"">ACP Community Profile</a>]]>",49.606,-95.126
Six Nations of the Grand River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn121.html"">ACP Community Profile</a>]]>",Six Nations of the Grand River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn121.html"">ACP Community Profile</a>]]>",43.053,-80.128
Slate Falls Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn259.html"">ACP Community Profile</a>]]>",Slate Falls Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn259.html"">ACP Community Profile</a>]]>",51.1693,-91.5907
Stanjikoming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn133.html"">ACP Community Profile</a>]]>",Stanjikoming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn133.html"">ACP Community Profile</a>]]>",48.713,-93.361
Taykwa Tagamou Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn145.html"">ACP Community Profile</a>]]>",Taykwa Tagamou Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn145.html"">ACP Community Profile</a>]]>",49.007,-80.838
Temagami First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn222.html"">ACP Community Profile</a>]]>",Temagami First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn222.html"">ACP Community Profile</a>]]>",46.984,-80.067
Thessalon,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn202.html"">ACP Community Profile</a>]]>",Thessalon,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn202.html"">ACP Community Profile</a>]]>",46.253,-83.413
Tuscarora,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn245.html"">ACP Community Profile</a>]]>",Tuscarora,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn245.html"">ACP Community Profile</a>]]>",43.0099,-80.0144
Upper Cayuga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn249.html"">ACP Community Profile</a>]]>",Upper Cayuga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn249.html"">ACP Community Profile</a>]]>",43.0319,-80.0748
Upper Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn257.html"">ACP Community Profile</a>]]>",Upper Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn257.html"">ACP Community Profile</a>]]>",45.018,-79.741
Wabaseemoong Independent Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn150.html"">ACP Community Profile</a>]]>",Wabaseemoong Independent Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn150.html"">ACP Community Profile</a>]]>",51.159,-94.942
Wabauskang First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn156.html"">ACP Community Profile</a>]]>",Wabauskang First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn156.html"">ACP Community Profile</a>]]>",50.416,-93.185
Wabigoon Lake Ojibway Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn157.html"">ACP Community Profile</a>]]>",Wabigoon Lake Ojibway Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn157.html"">ACP Community Profile</a>]]>",49.605,-92.523
Wahgoshig,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn233.html"">ACP Community Profile</a>]]>",Wahgoshig,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn233.html"">ACP Community Profile</a>]]>",48.612,-79.984
Wahnapitae,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn232.html"">ACP Community Profile</a>]]>",Wahnapitae,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn232.html"">ACP Community Profile</a>]]>",46.772,-80.832
Wahta Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn134.html"">ACP Community Profile</a>]]>",Wahta Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn134.html"">ACP Community Profile</a>]]>",45.008,-79.731
Walker Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn255.html"">ACP Community Profile</a>]]>",Walker Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn255.html"">ACP Community Profile</a>]]>",43.0471,-80.1154
Walpole Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn170.html"">ACP Community Profile</a>]]>",Walpole Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn170.html"">ACP Community Profile</a>]]>",42.534,-82.519
Wapekeka,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn206.html"">ACP Community Profile</a>]]>",Wapekeka,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn206.html"">ACP Community Profile</a>]]>",53.721,-89.539
Wasauksing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn136.html"">ACP Community Profile</a>]]>",Wasauksing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn136.html"">ACP Community Profile</a>]]>",45.292,-80.153
Wawakapewin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn234.html"">ACP Community Profile</a>]]>",Wawakapewin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn234.html"">ACP Community Profile</a>]]>",53.242,-89.142
Webequie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn240.html"">ACP Community Profile</a>]]>",Webequie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn240.html"">ACP Community Profile</a>]]>",52.9851,-87.2823
Weenusk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn146.html"">ACP Community Profile</a>]]>",Weenusk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn146.html"">ACP Community Profile</a>]]>",54.99,-85.43
Whitefish Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn224.html"">ACP Community Profile</a>]]>",Whitefish Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn224.html"">ACP Community Profile</a>]]>",46.302,-81.261
Whitefish River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn230.html"">ACP Community Profile</a>]]>",Whitefish River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn230.html"">ACP Community Profile</a>]]>",46.101,-81.691
Whitesand,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn190.html"">ACP Community Profile</a>]]>",Whitesand,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn190.html"">ACP Community Profile</a>]]>",50.314,-89.049
Wikwemikong,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn175.html"">ACP Community Profile</a>]]>",Wikwemikong,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn175.html"">ACP Community Profile</a>]]>",45.715,-81.711
Wunnumin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn217.html"">ACP Community Profile</a>]]>",Wunnumin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn217.html"">ACP Community Profile</a>]]>",52.852,-89.286
Zhiibaahaasing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn173.html"">ACP Community Profile</a>]]>",Zhiibaahaasing First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn173.html"">ACP Community Profile</a>]]>",45.945,-82.878
