name,description,name,description,latitude,longitude
Caldwell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn165.html"">ACP Community Profile</a>]]>",Caldwell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn165.html"">ACP Community Profile</a>]]>",42.3362,-81.9909
Cat Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn216.html"">ACP Community Profile</a>]]>",Cat Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn216.html"">ACP Community Profile</a>]]>",51.725,-91.813
Chapleau Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn221.html"">ACP Community Profile</a>]]>",Chapleau Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn221.html"">ACP Community Profile</a>]]>",47.857,-83.373
Chapleau Ojibway,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn229.html"">ACP Community Profile</a>]]>",Chapleau Ojibway,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn229.html"">ACP Community Profile</a>]]>",47.807,-83.394
Chippewas of Georgina Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn138.html"">ACP Community Profile</a>]]>",Chippewas of Georgina Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn138.html"">ACP Community Profile</a>]]>",44.375,-79.294
Chippewas of Kettle and Stony Point,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn171.html"">ACP Community Profile</a>]]>",Chippewas of Kettle and Stony Point,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn171.html"">ACP Community Profile</a>]]>",43.194,-82.005
Chippewas of Mnjikaning First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn139.html"">ACP Community Profile</a>]]>",Chippewas of Mnjikaning First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn139.html"">ACP Community Profile</a>]]>",44.661,-79.349
Chippewas of Nawash First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn122.html"">ACP Community Profile</a>]]>",Chippewas of Nawash First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn122.html"">ACP Community Profile</a>]]>",44.909,-81.048
Chippewas of the Thames First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn166.html"">ACP Community Profile</a>]]>",Chippewas of the Thames First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn166.html"">ACP Community Profile</a>]]>",42.824,-81.491
Constance Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn182.html"">ACP Community Profile</a>]]>",Constance Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn182.html"">ACP Community Profile</a>]]>",49.812,-84.129
Couchiching First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn126.html"">ACP Community Profile</a>]]>",Couchiching First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn126.html"">ACP Community Profile</a>]]>",48.682,-93.411
Curve Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn161.html"">ACP Community Profile</a>]]>",Curve Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn161.html"">ACP Community Profile</a>]]>",44.484,-78.356
Deer Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn237.html"">ACP Community Profile</a>]]>",Deer Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn237.html"">ACP Community Profile</a>]]>",52.617,-94.059
Delaware,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn253.html"">ACP Community Profile</a>]]>",Delaware,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn253.html"">ACP Community Profile</a>]]>",42.791,-81.483
Dokis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn218.html"">ACP Community Profile</a>]]>",Dokis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn218.html"">ACP Community Profile</a>]]>",46.055,-80.061
