name,description,latitude,longitude
Aklavik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107025.html"">ACP Community Profile</a>]]>",68.2121,-135.0031
Holman,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107095.html"">ACP Community Profile</a>]]>",70.7501,-117.8153
Inuvik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107017.html"">ACP Community Profile</a>]]>",68.3657,-133.7152
Paulatuk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107014.html"">ACP Community Profile</a>]]>",69.3347,-124.0617
Sachs Harbour,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107041.html"">ACP Community Profile</a>]]>",71.9863,-125.2316
Tuktoyaktuk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6107036.html"">ACP Community Profile</a>]]>",69.4213,-132.9643
