name,description,latitude,longitude
Gitanmaax,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn531.html"">ACP Community Profile</a>]]>",55.255,-127.671
Gitanyow,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn537.html"">ACP Community Profile</a>]]>",55.258,-128.059
Gitsegukla,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn535.html"">ACP Community Profile</a>]]>",55.097,-127.829
Gitwangak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn536.html"">ACP Community Profile</a>]]>",55.099,-128.078
Gitxaala Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn672.html"">ACP Community Profile</a>]]>",53.774,-130.439
Glen Vowell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn533.html"">ACP Community Profile</a>]]>",55.308,-127.683
Gwa&apos;Sala-Nakwaxda&apos;xw,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn724.html"">ACP Community Profile</a>]]>",50.733,-127.498
Gwawaenuk Tribe,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn627.html"">ACP Community Profile</a>]]>",50.923,-126.823
Hagwilget Village,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn534.html"">ACP Community Profile</a>]]>",55.255,-127.603
Halalt,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn645.html"">ACP Community Profile</a>]]>",48.875,-123.693
Halfway River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn546.html"">ACP Community Profile</a>]]>",56.474,-121.881
Hartley Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn675.html"">ACP Community Profile</a>]]>",53.433,-129.267
Heiltsuk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn538.html"">ACP Community Profile</a>]]>",52.167,-128.147
Hesquiaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn661.html"">ACP Community Profile</a>]]>",49.367,-126.272
High Bar,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn703.html"">ACP Community Profile</a>]]>",51.108,-121.998
Homalco,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn552.html"">ACP Community Profile</a>]]>",50.003,-125.323
