name,description,latitude,longitude
Miawpukek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn47.html"">ACP Community Profile</a>]]>",47.8578,-55.7701
Mushuau Innu First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn32.html"">ACP Community Profile</a>]]>",55.8851,-60.8919
Sheshatshiu Innu First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn33.html"">ACP Community Profile</a>]]>",53.5188,-60.1462
