name,description,latitude,longitude
Norway House Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn278.html"">ACP Community Profile</a>]]>",53.984,-97.809
O-Chi-Chak-Ko-Sipi First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn279.html"">ACP Community Profile</a>]]>",51.509,-99.229
Opaskwayak Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn315.html"">ACP Community Profile</a>]]>",53.816,-101.252
Pauingassi First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn327.html"">ACP Community Profile</a>]]>",52.1555,-95.3789
Peguis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn269.html"">ACP Community Profile</a>]]>",51.283,-97.604
Pinaymootang First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn272.html"">ACP Community Profile</a>]]>",51.598,-98.699
Pine Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn282.html"">ACP Community Profile</a>]]>",52.059,-100.206
Poplar River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn277.html"">ACP Community Profile</a>]]>",52.996,-97.283
Red Sucker Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn300.html"">ACP Community Profile</a>]]>",54.164,-93.557
Rolling River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn291.html"">ACP Community Profile</a>]]>",50.478,-100.001
Roseau River Anishinabe First Nation Government,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn273.html"">ACP Community Profile</a>]]>",49.159,-97.272
Sandy Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn283.html"">ACP Community Profile</a>]]>",50.545,-98.656
Sapotaweyak Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn314.html"">ACP Community Profile</a>]]>",52.738,-100.699
Sayisi Dene First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn303.html"">ACP Community Profile</a>]]>",58.717,-98.489
Shamattawa First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn307.html"">ACP Community Profile</a>]]>",55.846,-92.072
Sioux Valley Dakota Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn290.html"">ACP Community Profile</a>]]>",49.853,-100.497
Skownan First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn281.html"">ACP Community Profile</a>]]>",51.958,-99.604
St. Theresa Point,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn298.html"">ACP Community Profile</a>]]>",53.938,-94.834
Swan Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn293.html"">ACP Community Profile</a>]]>",49.394,-98.886
Tataskweyak Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn306.html"">ACP Community Profile</a>]]>",56.282,-96.102
Tootinaowaziibeeng Treaty Reserve,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn292.html"">ACP Community Profile</a>]]>",51.223,-100.958
War Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn323.html"">ACP Community Profile</a>]]>",56.041,-95.583
Wasagamack First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn299.html"">ACP Community Profile</a>]]>",53.885,-94.922
Waywayseecappo First Nation Treaty Four - 1874,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn285.html"">ACP Community Profile</a>]]>",50.675,-100.927
Wuskwi Sipihk First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn324.html"">ACP Community Profile</a>]]>",52.511,-100.862
York Factory First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn304.html"">ACP Community Profile</a>]]>",56.101,-96.063
