name,description,latitude,longitude
Buffalo Lake Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4812022b.html"">ACP Community Profile</a>]]>",54.5465,-112.4229
East Prairie Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4817027b.html"">ACP Community Profile</a>]]>",55.2073,-116.4369
Elizabeth Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4812004a.html"">ACP Community Profile</a>]]>",54.3896,-110.1969
Fishing Lake Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4812004b.html"">ACP Community Profile</a>]]>",54.9825,-110.1544
Gift Lake Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4817027c.html"">ACP Community Profile</a>]]>",55.8873,-115.822
Kikino Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4812022c.html"">ACP Community Profile</a>]]>",54.4204,-112.0679
Paddle Prarie Metis Settlement,-,57.8877,-117.4756
Peavine Metis Settlement,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4817027d.html"">ACP Community Profile</a>]]>",55.9326,-116.9089
